@relation esmeraldastestecluster-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute 'f1: arith mean (S channel)' numeric
@attribute 'f2: std deviation (S channel)' numeric
@attribute 'f3: arith mean (V channel)' numeric
@attribute 'f4: std deviation (V channel)' numeric
@attribute 'f5: hist comp (ref category 0, channel S)' numeric
@attribute 'f6: hist comp (ref category 1, channel S)' numeric
@attribute 'f7: hist comp (ref category 2, channel S)' numeric
@attribute 'f8: hist comp (ref category 3, channel S)' numeric
@attribute 'f9: hist comp (ref category 4, channel S)' numeric
@attribute 'f10: hist comp (ref category 5, channel S)' numeric
@attribute 'f11: hist comp (ref category 6, channel S)' numeric
@attribute 'f12: hist comp (ref category 7, channel S)' numeric
@attribute 'f13: hist comp (ref category 0, channel V)' numeric
@attribute 'f14: hist comp (ref category 1, channel V)' numeric
@attribute 'f15: hist comp (ref category 2, channel V)' numeric
@attribute 'f16: hist comp (ref category 3, channel V)' numeric
@attribute 'f17: hist comp (ref category 4, channel V)' numeric
@attribute 'f18: hist comp (ref category 5, channel V)' numeric
@attribute 'f19: hist comp (ref category 6, channel V)' numeric
@attribute 'f20: hist comp (ref category 7, channel V)' numeric
@attribute 'f21: GLCM homogeneity (distance 1, angle 0)' numeric
@attribute 'f22: GLCM homogeneity (distance 1 angle 90)' numeric
@attribute 'f23: GLCM entropy (distance 1, angle 0)' numeric
@attribute 'f24: GLCM entropy (distance 1, angle 90)' numeric
@attribute classe {0,1,2,3,4,5,6,7}

@data
0.865211,0.021059,0.188327,0.029048,0.587615,0.67013,0.283338,0.642742,0.948078,0.847166,0.867223,0.849388,0.488378,0.174422,0.187933,0.184743,0.915935,0.620899,0.492905,0.982019,0.526501,0.810174,0.516186,0.812519,4
0.875308,0.021348,0.183203,0.027413,0.594621,0.634305,0.308365,0.66874,0.916763,0.837758,0.862621,0.822283,0.525251,0.208776,0.157051,0.214482,0.930569,0.653866,0.526114,0.980175,0.513108,0.819755,0.529141,0.814156,4
0.878894,0.022813,0.209493,0.028113,0.469145,0.798639,0.351654,0.502174,0.909204,0.759249,0.934114,0.792974,0.551175,0.231458,0.130638,0.251727,0.929085,0.678684,0.560686,0.987399,0.532124,0.806012,0.535306,0.804948,4
0.880366,0.023012,0.20686,0.025173,0.456314,0.726341,0.356766,0.503481,0.892354,0.750486,0.903599,0.780257,0.543597,0.249173,0.114314,0.249176,0.91304,0.671513,0.562818,0.975461,0.541784,0.836454,0.540899,0.837725,4
0.872624,0.021041,0.200355,0.025924,0.507519,0.723529,0.358312,0.551164,0.934721,0.791552,0.898428,0.819742,0.505014,0.208622,0.164129,0.190786,0.915816,0.636418,0.518177,0.978011,0.596662,0.784623,0.593139,0.787576,4
0.873867,0.020842,0.209775,0.028406,0.477425,0.808082,0.361676,0.500172,0.926548,0.770923,0.909795,0.810093,0.511884,0.203742,0.173661,0.199946,0.923527,0.642258,0.522378,0.973332,0.555485,0.799454,0.553015,0.800035,4
0.85453,0.02006,0.207333,0.027625,0.518196,0.806792,0.383137,0.515667,0.960963,0.815358,0.918369,0.849814,0.439279,0.196177,0.218096,0.125257,0.904903,0.572683,0.450774,0.981094,0.587068,0.771032,0.60147,0.763262,4
0.870493,0.020744,0.21289,0.027814,0.453996,0.785334,0.397273,0.482998,0.89962,0.758947,0.922916,0.78391,0.491634,0.217054,0.183953,0.178257,0.920649,0.621795,0.502972,0.988512,0.543361,0.810018,0.550996,0.805581,4
0.870266,0.021726,0.197826,0.027178,0.542503,0.682813,0.399394,0.578232,0.93888,0.832355,0.883239,0.843292,0.517589,0.193965,0.175006,0.200503,0.931156,0.645751,0.520742,0.974503,0.59155,0.790681,0.582805,0.792797,4
0.848002,0.018059,0.208535,0.025596,0.466798,0.76084,0.400656,0.501924,0.89851,0.770814,0.906667,0.788915,0.40347,0.200327,0.262585,0.090728,0.89384,0.536737,0.417441,0.976259,0.493975,0.858087,0.490357,0.855453,4
0.870966,0.021009,0.208601,0.025988,0.462402,0.766422,0.401444,0.500006,0.90619,0.760821,0.910472,0.795234,0.506723,0.210655,0.194985,0.196636,0.925174,0.635093,0.514177,0.982875,0.576367,0.812583,0.571657,0.814784,4
0.862891,0.020487,0.21291,0.026444,0.439573,0.776176,0.417557,0.467791,0.89387,0.749169,0.909599,0.782392,0.467209,0.193668,0.199428,0.161293,0.897214,0.601681,0.488353,0.966631,0.530226,0.836829,0.524413,0.841552,4
0.836674,0.01947,0.206647,0.026583,0.487245,0.735506,0.431815,0.51448,0.917445,0.78987,0.920844,0.810498,0.37832,0.201548,0.322638,0.114565,0.893873,0.511235,0.37778,0.978031,0.559686,0.811255,0.565941,0.811304,4
0.859878,0.019151,0.210134,0.023057,0.431572,0.712614,0.435277,0.453653,0.893553,0.744278,0.876477,0.784594,0.443492,0.195856,0.219012,0.140946,0.893472,0.576502,0.462905,0.967585,0.496281,0.888911,0.506465,0.883401,4
0.868146,0.020057,0.213685,0.026027,0.433315,0.759948,0.456233,0.447045,0.907667,0.752254,0.878722,0.792995,0.484924,0.204144,0.203195,0.161788,0.914861,0.614455,0.499103,0.971481,0.488319,0.850864,0.471406,0.856835,4
0.860302,0.019345,0.21301,0.026767,0.456613,0.761289,0.457204,0.469892,0.912721,0.772093,0.906311,0.803374,0.459408,0.198656,0.242899,0.168836,0.904567,0.592887,0.478417,0.964986,0.529434,0.825844,0.532011,0.827469,4
0.844948,0.01851,0.221973,0.025475,0.387459,0.824697,0.461949,0.388502,0.885743,0.707899,0.925814,0.762817,0.395462,0.194973,0.273724,0.085183,0.8841,0.531334,0.412283,0.959629,0.508837,0.851763,0.511696,0.851087,4
0.88225,0.022704,0.217015,0.025129,0.420305,0.781471,0.464058,0.437143,0.892518,0.736924,0.932081,0.781381,0.552382,0.247868,0.133408,0.24399,0.927847,0.679959,0.568894,0.983925,0.524342,0.836786,0.527977,0.836898,4
0.850379,0.018058,0.217075,0.024399,0.401871,0.754594,0.464811,0.414775,0.897194,0.721795,0.905904,0.781875,0.408238,0.194566,0.269124,0.111946,0.892987,0.544827,0.420034,0.976012,0.48122,0.879007,0.491766,0.871778,4
0.851656,0.018875,0.218909,0.025165,0.402923,0.779859,0.472154,0.416675,0.888088,0.726485,0.907849,0.774716,0.422614,0.184736,0.240994,0.104485,0.893059,0.560026,0.435485,0.961276,0.501275,0.858855,0.506816,0.854046,4
0.874459,0.0207,0.225854,0.025089,0.353205,0.820864,0.481495,0.348367,0.887403,0.673275,0.904078,0.756875,0.502041,0.230616,0.176874,0.212367,0.896147,0.632713,0.522206,0.970648,0.505769,0.832383,0.520713,0.826662,4
0.86871,0.02198,0.22229,0.027409,0.383411,0.80333,0.481796,0.38937,0.890539,0.701553,0.893733,0.770426,0.488732,0.225813,0.164186,0.191887,0.903235,0.618032,0.50742,0.984183,0.446819,0.882868,0.455637,0.8764,4
0.859314,0.018864,0.22603,0.023862,0.344648,0.784511,0.497745,0.365277,0.854063,0.677459,0.895268,0.734533,0.444884,0.195499,0.227128,0.144883,0.896725,0.581286,0.453772,0.962032,0.472893,0.894491,0.470539,0.893121,4
0.836253,0.01788,0.212552,0.024968,0.450561,0.736143,0.498407,0.454184,0.91995,0.761584,0.905859,0.808021,0.3686,0.19491,0.316596,0.10728,0.888584,0.505308,0.372912,0.969854,0.539313,0.828634,0.539925,0.828614,4
0.870413,0.024599,0.153807,0.031538,0.776037,0.455373,0.541498,0.851472,0.975921,0.935684,0.863941,0.914948,0.53468,0.194396,0.123652,0.251453,0.910706,0.66477,0.535765,0.972695,0.726413,0.659377,0.709819,0.667507,2
0.68309,0.020281,0.224945,0.026942,0.388801,0.800768,0.546803,0.365009,0.917872,0.70601,0.910302,0.794147,0.410014,0.742176,0.83615,0.693085,0.595695,0.354064,0.491269,0.903192,0.567362,0.803655,0.551365,0.810824,3
0.867401,0.02186,0.148886,0.026737,0.706601,0.359357,0.570031,0.794006,0.94043,0.879366,0.746792,0.870059,0.496375,0.165492,0.156952,0.193112,0.911072,0.629064,0.494119,0.974356,0.557615,0.805417,0.554481,0.807012,2
0.896951,0.024642,0.155762,0.029082,0.699176,0.389603,0.574331,0.78019,0.929409,0.874171,0.836437,0.866486,0.610693,0.319542,0.193807,0.338701,0.934022,0.72941,0.626448,0.982338,0.611305,0.759854,0.594766,0.764129,2
0.786498,0.01687,0.2411,0.02197,0.227213,0.80187,0.586161,0.251184,0.825277,0.561589,0.897317,0.684466,0.228576,0.354552,0.515545,0.259521,0.817934,0.349296,0.258155,0.93147,0.438922,0.929891,0.389768,0.953941,7
